dateTime,walletId,Wallet,Transaction ID,operation,assetTicker,Token Amount,USD Value,fromAddress,toAddress
10/07/25,rnd4TuHYMIjCZ35VNGNW,,SOL.5tWmSkTG1vf85mQZGy7ZQCHG7FgekBWwTASbYZqmv6HMG1secr2HiH3SRex1MLDW4ZZecEnKp8SWaXiSh4gyiYMN,DEPOSIT,SOL,0.00203928,0.474,0,J6Ceou8AwmZ3ieCWCUBZZRArxgaE6Pa3R2Xi6hKiNe9
10/07/25,rnd4TuHYMIjCZ35VNGNW,,SOL.5tWmSkTG1vf85mQZGy7ZQCHG7FgekBWwTASbYZqmv6HMG1secr2HiH3SRex1MLDW4ZZecEnKp8SWaXiSh4gyiYMN,DEPOSIT,SOL-MARIO,29.019271,0.0,0,J6Ceou8AwmZ3ieCWCUBZZRArxgaE6Pa3R2Xi6hKiNe9
,,,,,,,,,
10/08/25,GWPD1j45GpmmYm0e9LeC,,0xc11bf861a15872fb66b78db23050166c3f2bc92924fe9375e772aade7d9f383c,WITHDRAW,ETH,-0.3,-1349.337,0x6fa303e72bed54f515a513496f922bc331e2f27e,0xff574f46db70217f54dbb60d1c80f481f40d278b
10/08/25,GWPD1j45GpmmYm0e9LeC,,0xc11bf861a15872fb66b78db23050166c3f2bc92924fe9375e772aade7d9f383c,FEE,ETH,1.894543035e-05,0.085,0x6fa303e72bed54f515a513496f922bc331e2f27e,0xff574f46db70217f54dbb60d1c80f481f40d278b
,,,,,,,,,
10/08/25,i8gUh0BDpfVuHyUTel84,,SOL.4TfQfDwpoftWBscf6Wz6fx1MNhTUGSYajVxoqwkJnLvM1W27tW8xK6qEMNFRMgA5f1WUiqWiki3g2UFnbxG4JBCp,WITHDRAW,SOL,-0.00203928,-0.456,BbHXkuhKozZ5MJVbYUgLkdbFueHhTepQp8PJFMB7oyrP,AR1CrqtmtdF5GwCZTxvhpepAsp8uPdaTeAanhgBH9rJb
10/08/25,i8gUh0BDpfVuHyUTel84,,SOL.4TfQfDwpoftWBscf6Wz6fx1MNhTUGSYajVxoqwkJnLvM1W27tW8xK6qEMNFRMgA5f1WUiqWiki3g2UFnbxG4JBCp,WITHDRAW,SOL-USDC,-300.074118,-300.074,6Qo2CL451dmNYrV9aW74YQqBGkgi217ujCTk3GPKcmgB,AR1CrqtmtdF5GwCZTxvhpepAsp8uPdaTeAanhgBH9rJb
10/08/25,i8gUh0BDpfVuHyUTel84,,SOL.4TfQfDwpoftWBscf6Wz6fx1MNhTUGSYajVxoqwkJnLvM1W27tW8xK6qEMNFRMgA5f1WUiqWiki3g2UFnbxG4JBCp,FEE,SOL,1.2808e-05,0.003,bbhxkuhkozz5mjvbyuglkdbfuehhtepqp8pjfmb7oyrp,
,,,,,,,,,
10/09/25,GWPD1j45GpmmYm0e9LeC,,0xa220897959a75686fb807c0d42da6e6b91a83ac12d26ec8eb4567d935eed5b0c,WITHDRAW,ETH,-0.3,-1301.058,0x6fa303e72bed54f515a513496f922bc331e2f27e,0xc41ddfee69898c5da199ef22464136e1ebab0537
10/09/25,GWPD1j45GpmmYm0e9LeC,,0xa220897959a75686fb807c0d42da6e6b91a83ac12d26ec8eb4567d935eed5b0c,FEE,ETH,3.28910652391e-05,0.143,0x6fa303e72bed54f515a513496f922bc331e2f27e,0xc41ddfee69898c5da199ef22464136e1ebab0537
,,,,,,,,,
10/09/25,rsAv9AKkiOtMsDRPVxTs,,rsAv9AKkiOtMsDRPVxTs.rsAv9AKkiOtMsDRPVxTs.Gg5j2ziwiF8T7sFTKx47ZavgXNDC3XXTcvh1cy2FvkDx.2025-10-9-20.solRevenue,DEPOSIT,SOL,3.0,657.03,,
,,,,,,,,,
10/10/25,GWPD1j45GpmmYm0e9LeC,,0x27b07b922dc4a125ee309122807789de7c51f5f69441b776efe5f618e7b686cf,WITHDRAW,ETH,-0.3,-1231.353,0x6fa303e72bed54f515a513496f922bc331e2f27e,0x538c3777f30126dcaee1c1ae6793a01ffb2e6146
10/10/25,GWPD1j45GpmmYm0e9LeC,,0x27b07b922dc4a125ee309122807789de7c51f5f69441b776efe5f618e7b686cf,FEE,ETH,0.000366872046093,1.506,0x6fa303e72bed54f515a513496f922bc331e2f27e,0x538c3777f30126dcaee1c1ae6793a01ffb2e6146
,,,,,,,,,
